payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
27,602,602,602,1,1,0,1,1,1,1,1,0.08201525538882853,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
28,7,7,7,1,1,0,1,1,1,1,1,0.0786992165268801,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
29,610,610,610,1,1,0,1,1,1,1,1,0.09984321173771231,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
30,839,839,839,1,1,0,1,1,1,1,1,0.09563688138348908,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,0
31,913,740,554,4,15,-11,1,0,0,0,1,0.155315011172174,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
32,764,764,764,1,1,0,1,1,1,1,1,0.07274134360559614,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
33,577,577,577,1,1,0,1,1,1,1,1,0.07790015766708507,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
34,936,936,936,1,1,0,1,1,1,1,1,0.04907242241064817,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
0,222,222,222,1,1,0,1,1,1,1,1,0.06312049304060117,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
1,711,711,711,1,1,0,1,1,1,1,1,0.08467259992628998,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
2,871,121,121,3,2,1,1,1,0,0,1,0.19517489996402543,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
3,718,718,716,1,2,-1,1,1,1,0,1,0.1453041354039266,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
4,107,107,107,1,1,0,1,1,1,1,1,0.11452897528783267,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,1
5,467,467,467,1,1,0,1,1,1,1,1,0.07763911888616017,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
6,89,89,89,1,1,0,1,1,1,1,1,0.11284956699839034,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
7,713,713,713,1,1,0,1,1,1,1,1,0.059375783977679564,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
8,865,865,865,1,1,0,1,1,1,1,1,0.07493722208216894,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
9,405,405,405,1,1,0,1,1,1,1,1,0.07453319741493414,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
10,765,765,765,1,1,0,1,1,1,1,1,0.051190575381304726,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
11,1023,1023,1023,1,1,0,1,1,1,1,1,0.07953087992482313,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
