raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
590,392,8,2.7363989002066718,0.6974692940711975,2.7964834767914666,0.6786248683929443,0.060084576584794915,0.16548646613955498,76.66755056381226,80.81295442581177
591,392,0,1.1218668777407717,0.5895362496376038,1.111262464633316,0.5859205722808838,-0.010604413107455688,0.16562112979590893,,
592,392,0,1.089176795291548,0.6597985327243805,1.0889635117600105,0.6425071656703949,-0.00021328353153765011,0.1659153662621975,,
593,392,0,1.1353789313863523,0.6138716042041779,1.1394979669673877,0.646946132183075,0.00411903558103534,0.16632368601858616,,
594,392,0,1.1361465846078187,0.7174651026725769,1.1172993586526956,0.6755527555942535,-0.018847225955123205,0.16683422774076462,,
595,392,0,1.193455123715578,0.6663596928119659,1.2144771415154612,0.698197990655899,0.02102201779988328,0.1673772893846035,,
596,392,0,1.0660569604625212,0.6363800168037415,1.10433671403586,0.6170846819877625,0.03827975357333863,0.1678924337029457,,
597,392,8,2.742302080880071,0.6816090643405914,2.8022017384759312,0.6644421517848969,0.05989965759585992,0.1682642176747322,79.6753077507019,83.03624153137207
598,392,0,0.9911945495785366,0.6986885070800781,0.9797388030292125,0.6925331652164459,-0.01145574654932419,0.1684802696108818,,
599,392,0,1.0928140357279277,0.7013846933841705,1.0825869957702614,0.6920774877071381,-0.010227039957666124,0.16850563138723373,,
600,392,0,1.0424474077188983,0.6235322058200836,1.0591660876255315,0.6576485633850098,0.016718679906633192,0.16834623739123344,,
601,392,0,1.13799350227218,0.7018214762210846,1.1586766164759958,0.7027465105056763,0.020683114203815682,0.16810567304491997,,
602,392,8,2.702590292187055,0.6998711228370667,2.8191967812171965,0.6870255172252655,0.11660648903014181,0.16788099147379398,80.47938823699951,85.46300983428955
603,392,0,1.134431255096332,0.6968748271465302,1.1483269145711366,0.6877454221248627,0.013895659474804475,0.16774360090494156,,
604,392,0,1.0290769703231266,0.6547566950321198,1.027676114240514,0.677850604057312,-0.0014008560826127626,0.16774321533739567,,
605,392,0,1.0704796514153119,0.6756593883037567,1.0622582494468922,0.6544592380523682,-0.008221401968419704,0.1679026558995247,,
606,392,0,1.0779207420270482,0.6683594286441803,1.0798605520964828,0.7056619822978973,0.0019398100694346869,0.16820126958191395,,
607,392,0,1.0566021168790996,0.6908634901046753,1.0617638082660459,0.6685256659984589,0.0051616913869463816,0.168546749278903,,
608,392,0,1.0276867378359347,0.638546347618103,1.0173222371335473,0.6381483376026154,-0.010364500702387293,0.16884316504001617,,
609,392,0,1.119115708767655,0.6762247979640961,1.1259487146471285,0.6895588636398315,0.006833005879473474,0.16901680268347263,,
610,392,0,1.0781530205959844,0.6501196324825287,1.074770603066118,0.6671382784843445,-0.0033824175298665365,0.16900835372507572,,
611,392,0,1.0947787378788736,0.6873783767223358,1.121325403607536,0.7168278992176056,0.02654666572866239,0.16881265118718147,,
612,392,0,1.147953506515181,0.6976942121982574,1.1630858275733476,0.6944663524627686,0.01513232105816667,0.16849036142230034,,
613,392,0,1.2288428383925358,0.6570839285850525,1.2489905426137944,0.6983004212379456,0.020147704221258486,0.16813788935542107,,
614,392,0,1.018736614444179,0.6164678037166595,1.019697617044511,0.5873595774173737,0.0009610026003317718,0.16786584444344044,,
615,392,0,1.069706117695186,0.63839390873909,1.0818850303135985,0.5898382067680359,0.012178912618412365,0.1677460540086031,,
616,392,0,1.083182164628833,0.6175616979598999,1.1036950704969504,0.694869190454483,0.020512905868117184,0.16783125512301922,,
617,392,0,1.0580604627049275,0.6771481037139893,1.0551467161706254,0.6395300924777985,-0.0029137465343020657,0.1680898442864418,,
618,392,0,1.2306149667428867,0.7491858899593353,1.2421595504369625,0.7634201645851135,0.011544583694075652,0.16842358000576496,,
619,392,0,1.0460183786880017,0.6181976795196533,1.0336305411607953,0.5701131522655487,-0.012387837527206343,0.1687127649784088,,
620,392,0,1.121454481156044,0.6398828625679016,1.110150220675919,0.6658429503440857,-0.011304260480124978,0.16889440827071667,,
621,392,0,1.1637247702764937,0.72893887758255,1.1657346875409178,0.7057453393936157,0.0020099172644241123,0.16894257627427578,,
622,392,0,1.2540244024093394,0.6813062727451324,1.2550615458921481,0.6571415960788727,0.0010371434828088315,0.16882777959108353,,
623,392,0,1.1338270627103546,0.6940911114215851,1.1540444818840894,0.6868279278278351,0.020217419173734794,0.16858502477407455,,
624,392,0,1.0649222182806366,0.7006228864192963,1.0681028968538158,0.6406187415122986,0.003180678573179258,0.1683051772415638,,
625,392,0,1.237749924795341,0.712762326002121,1.2410065229407188,0.7021902799606323,0.0032565981453778793,0.16803878545761108,,
626,392,0,1.0676650687828255,0.6673206090927124,1.0721696531208533,0.6667457818984985,0.004504584338027765,0.16782108135521412,,
627,392,0,1.0973217745052593,0.6877799332141876,1.100535262548911,0.6740877032279968,0.003213488043651783,0.1677088662981987,,
628,392,0,1.1861624290559492,0.7003485560417175,1.2158407482383322,0.7198098599910736,0.02967831918238294,0.16770365089178085,,
629,392,8,2.650033577544881,0.6608530282974243,2.732103078239468,0.6645033657550812,0.08206950069458743,0.1678297184407711,76.82115983963013,81.13654613494873
630,392,0,1.104831468709804,0.589548796415329,1.1209107882483407,0.6061183512210846,0.01607931953853671,0.1680496707558632,,
631,392,0,1.170937334171292,0.6492221653461456,1.158498071878948,0.6775028109550476,-0.012439262292343987,0.16834212467074394,,
632,392,0,0.9927180526911445,0.684890627861023,0.9679556614671815,0.6721652746200562,-0.024762391223963016,0.16864451207220554,,
633,392,0,1.178992378403972,0.7357338666915894,1.1769467455433558,0.7123550176620483,-0.0020456328606161724,0.16886156611144543,,
634,392,0,1.038844630695946,0.6533596515655518,1.027853289447732,0.675901859998703,-0.010991341248214036,0.16895359568297863,,
635,392,0,1.1722170528831026,0.6587567031383514,1.1633198263561821,0.6941738724708557,-0.00889722652692046,0.16890200600028038,,
636,392,0,1.1710586153263016,0.7223562896251678,1.1845024689914403,0.708470344543457,0.0134438536651385,0.16871932335197926,,
637,392,0,1.0255497154228541,0.6327211856842041,1.0391757246344446,0.6458036303520203,0.0136260092115904,0.1685127094388008,,
638,392,0,1.0434918107229703,0.6245875060558319,1.0287049735459137,0.6241832673549652,-0.014786837177056516,0.1683778390288353,,
639,392,0,1.113133387418276,0.6920720040798187,1.1087433065570491,0.667277604341507,-0.00439008086122696,0.16836712695658207,,
640,392,0,1.0914800422282755,0.78619185090065,1.1200711380640445,0.7286694347858429,0.02859109583576875,0.16850285977125168,,
